username,positive_percentage,neutral_percentage,negative_percentage,sentiment_score,dominant_sentiment
belindalovelee,67.17,21.95,10.88,78.15,Positive 😄
bellariaigeamarina,77.78,22.22,0.0,88.89,Positive 😄
bellas_grayce,34.56,30.04,35.4,49.58,Neutral 😐
bellavarelis,68.95,19.96,11.09,78.93,Positive 😄
belle_lucia,66.01,21.49,12.5,76.76,Positive 😄
belleandbunty,35.36,29.47,35.16,50.1,Neutral 😐
bellethemagazine,77.73,17.9,4.37,86.68,Positive 😄
ben1sherlock,61.29,29.03,9.68,75.81,Positive 😄
benblack10,69.25,19.58,11.17,79.04,Positive 😄
benchpeg,50.0,25.0,25.0,62.5,Positive 😄
benedettapascali,34.59,31.26,34.15,50.22,Neutral 😐
benjaminfurland,,,,0.0,Neutral 😐
bennetttriplets,67.26,20.94,11.8,77.73,Positive 😄
berettafarms,50.0,12.5,37.5,56.25,Neutral 😐
berth_restaurantevents,80.0,20.0,0.0,90.0,Positive 😄
bestbeforeenddate,37.52,28.55,33.93,51.79,Neutral 😐
bestfoodalex,35.0,29.96,35.04,49.98,Neutral 😐
bestindotech,32.11,35.74,32.15,49.98,Neutral 😐
betch_perfect,34.22,33.4,32.38,50.92,Neutral 😐
bethanyannhamm,38.46,30.77,30.77,53.85,Neutral 😐
bethanystruble,35.29,29.41,35.29,50.0,Neutral 😐
bethylou10,33.67,30.3,36.03,48.82,Neutral 😐
betreutestrinken,42.86,28.57,28.57,57.14,Neutral 😐
betsyalvarezz,64.17,23.74,12.09,76.04,Positive 😄
betsywynterwinnie,67.2,21.72,11.08,78.06,Positive 😄
bettyfashionlounge,37.01,27.56,35.43,50.79,Neutral 😐
bettywho,63.94,22.8,13.26,75.34,Positive 😄
beverly_lo_reign,33.33,25.0,41.67,45.83,Neutral 😐
bexnes,35.11,30.28,34.61,50.25,Neutral 😐
bforbookslut,55.38,30.77,13.85,70.77,Positive 😄
biancaderhy,66.83,21.11,12.06,77.38,Positive 😄
biancalangham,75.0,25.0,0.0,87.5,Positive 😄
biasommelier,62.61,26.09,11.3,75.65,Positive 😄
bibaaaaaaas,33.53,31.0,35.47,49.03,Neutral 😐
bigdaddykreativ,64.22,20.28,15.5,74.36,Positive 😄
bigeatsglobal,34.82,30.24,34.93,49.95,Neutral 😐
biketourglobal,67.5,12.5,20.0,73.75,Positive 😄
bilby_the_bus,36.72,28.12,35.16,50.78,Neutral 😐
billie_grace,35.19,29.82,35.0,50.1,Neutral 😐
birdsparty,70.77,16.92,12.31,79.23,Positive 😄
birdsurfboards,50.0,33.33,16.67,66.67,Positive 😄
birgittesn,67.87,20.78,11.36,78.25,Positive 😄
bitsofbrittany,61.9,25.4,12.7,74.6,Positive 😄
bjrens,35.28,29.34,35.38,49.95,Neutral 😐
bk_goldengoddess,68.0,24.0,8.0,80.0,Positive 😄
blablablacarol,33.51,33.72,32.77,50.37,Neutral 😐
black_mhk,41.18,29.41,29.41,55.88,Neutral 😐
blackbabybooks,75.79,14.74,9.47,83.16,Positive 😄
blackrose45,50.0,0.0,50.0,50.0,Neutral 😐
blaireadiebee,35.59,28.76,35.65,49.97,Neutral 😐
blairimani,66.96,21.83,11.21,77.88,Positive 😄
blanca_suarez,35.08,30.6,34.32,50.38,Neutral 😐
blessedtrini_empress,88.24,7.84,3.92,92.16,Positive 😄
blingaholic88,68.01,22.98,9.01,79.5,Positive 😄
blogaskmi,36.09,28.31,35.6,50.25,Neutral 😐
blogbdebeleza,84.21,15.79,0.0,92.11,Positive 😄
blogfabrik,100.0,0.0,0.0,100.0,Positive 😄
bloggybabe,36.57,26.86,36.57,50.0,Neutral 😐
bloglilapink,33.33,31.48,35.19,49.07,Neutral 😐
blondeswhoeat,34.93,29.38,35.69,49.62,Neutral 😐
bloomwithstyle,66.08,22.77,11.15,77.47,Positive 😄
bluegraygal,66.85,22.26,10.89,77.98,Positive 😄
bluenailgirl,66.03,22.51,11.46,77.29,Positive 😄
blushingnoir,35.26,28.91,35.82,49.72,Neutral 😐
bmproductionsevents,35.48,22.58,41.94,46.77,Neutral 😐
bnbsocial,35.18,29.69,35.14,50.02,Neutral 😐
boardroomblonde,68.1,21.43,10.48,78.81,Positive 😄
bobismakeup,63.81,24.13,12.06,75.87,Positive 😄
boltandkeel,65.05,21.86,13.09,75.98,Positive 😄
bonniekathryn,35.45,31.75,32.8,51.32,Neutral 😐
bonnys_wonderland,33.77,29.87,36.36,48.7,Neutral 😐
booksandbookskw,85.71,14.29,0.0,92.86,Positive 😄
boozyburbs,35.55,28.35,36.09,49.73,Neutral 😐
bouchiclifestyle,35.9,28.95,35.14,50.38,Neutral 😐
boulderlocavore,35.81,29.32,34.86,50.47,Neutral 😐
boyshayler,34.53,29.32,36.16,49.19,Neutral 😐
bpckwt,53.52,32.39,14.08,69.72,Positive 😄
bradgoreski,62.87,22.36,14.78,74.04,Positive 😄
bradley_perrine,70.37,23.46,6.17,82.1,Positive 😄
bradydeluxe,36.82,28.86,34.33,51.24,Neutral 😐
brandonpeebles,34.21,30.54,35.25,49.48,Neutral 😐
brandonshowersofficial,93.62,6.38,0.0,96.81,Positive 😄
braxtonmg,35.14,31.53,33.33,50.9,Neutral 😐
brazsimplicio,34.69,29.59,35.71,49.49,Neutral 😐
breadboozebacon,85.71,14.29,0.0,92.86,Positive 😄
breakfastclubam,35.29,30.27,34.44,50.42,Neutral 😐
brianfv,64.74,26.2,9.07,77.83,Positive 😄
brides_weddings,34.21,30.08,35.7,49.26,Neutral 😐
bridesupnorth,38.46,25.64,35.9,51.28,Neutral 😐
brieemuccie,36.79,30.05,33.16,51.81,Neutral 😐
brightonkeller,67.79,20.55,11.67,78.06,Positive 😄
brilliantindian,91.67,8.33,0.0,95.83,Positive 😄
britaxus,37.12,26.12,36.76,50.18,Neutral 😐
britsinthebay,35.16,29.67,35.16,50.0,Neutral 😐
britt_gardiner,34.95,30.37,34.68,50.14,Neutral 😐
britt_hope,36.84,23.68,39.47,48.68,Neutral 😐
brittanyaldean,33.92,32.25,33.83,50.05,Neutral 😐
brittanybzucker,0.0,100.0,0.0,50.0,Neutral 😐
brittanycvenyy,36.92,29.23,33.85,51.54,Neutral 😐
brittanyelizabethwilliams,35.46,29.77,34.77,50.35,Neutral 😐
brittanyjjones,62.5,25.84,11.66,75.42,Positive 😄
brittanyleemorris,36.36,31.82,31.82,52.27,Neutral 😐
brittinghamphotography,75.0,25.0,0.0,87.5,Positive 😄
brittneyfhughes,36.36,28.79,34.85,50.76,Neutral 😐
bro0ketini,34.83,30.12,35.05,49.89,Neutral 😐
brockwayout,34.65,30.19,35.16,49.75,Neutral 😐
brooke_kenney,34.79,30.4,34.81,49.99,Neutral 😐
brookepender,36.11,29.0,34.9,50.6,Neutral 😐
brookiescookiesco,34.61,30.0,35.39,49.61,Neutral 😐
brooklynkellyy,34.93,30.01,35.06,49.93,Neutral 😐
brunchnista,35.66,28.29,36.05,49.81,Neutral 😐
brunettenomad,35.81,28.38,35.81,50.0,Neutral 😐
brunoguedes,63.87,24.47,11.66,76.1,Positive 😄
brynleehassan,33.11,31.06,35.84,48.63,Neutral 😐
bryonycooks,35.35,29.08,35.56,49.89,Neutral 😐
bskicksco,78.5,16.36,5.14,86.68,Positive 😄
buckbetty,35.38,30.77,33.85,50.77,Neutral 😐
budapest_is_awesome,38.46,26.92,34.62,51.92,Neutral 😐
buildincommon,36.84,28.07,35.09,50.88,Neutral 😐
bumpclubandbeyond,67.87,19.81,12.32,77.77,Positive 😄
buonapappa,32.81,31.25,35.94,48.44,Neutral 😐
burgerfi,36.49,27.03,36.49,50.0,Neutral 😐
bushwickdaily,32.88,34.25,32.88,50.0,Neutral 😐
busymom_28,41.38,20.69,37.93,51.72,Neutral 😐
buttermybooks,34.47,29.98,35.55,49.46,Neutral 😐
buybeck,36.14,31.33,32.53,51.81,Neutral 😐
by_charlie_,35.14,31.53,33.33,50.9,Neutral 😐
by_fishingforcompliments,67.85,20.71,11.44,78.21,Positive 😄
bygillianclaire,67.69,20.77,11.54,78.08,Positive 😄
byluanaviana,35.14,29.72,35.14,50.0,Neutral 😐
bymorgantyler,77.5,15.91,6.6,85.45,Positive 😄
byrdiebeauty,36.04,29.29,34.67,50.69,Neutral 😐
byronthebulldog,36.73,26.53,36.73,50.0,Neutral 😐
c_a_r_m_e_n_,64.81,24.9,10.29,77.26,Positive 😄
caeliyt,34.51,29.48,36.01,49.25,Neutral 😐
caesarpalotta,36.25,28.29,35.46,50.4,Neutral 😐
caitieandkids,70.18,22.81,7.02,81.58,Positive 😄
caitlynadixon,35.48,29.03,35.48,50.0,Neutral 😐
caitlynnnicolee,38.46,23.08,38.46,50.0,Neutral 😐
cakebycourtney,66.88,20.69,12.43,77.23,Positive 😄
cakenknife,36.38,28.35,35.27,50.56,Neutral 😐
calebcastille,67.23,22.6,10.17,78.53,Positive 😄
calligraphyandcaffeine,35.71,35.71,28.57,53.57,Neutral 😐
callmekatiebug,71.52,19.39,9.09,81.21,Positive 😄
calvinrodgers,35.74,30.9,33.36,51.19,Neutral 😐
cam_ds,36.51,28.28,35.21,50.65,Neutral 😐
cambria_joy,35.55,29.93,34.53,50.51,Neutral 😐
camillakarfwedson,73.36,15.57,11.07,81.15,Positive 😄
camillamount,34.89,29.67,35.44,49.72,Neutral 😐
camillasantanas,68.14,22.22,9.64,79.25,Positive 😄
camillasiber,33.33,33.33,33.33,50.0,Neutral 😐
camillasvahn,75.0,15.38,9.62,82.69,Positive 😄
camillavingaard,70.79,21.58,7.63,81.58,Positive 😄
camitiffin,33.33,33.33,33.33,50.0,Neutral 😐
camusfuckboi,33.33,33.33,33.33,50.0,Neutral 😐
canbloghouse,72.09,20.93,6.98,82.56,Positive 😄
candacerogati,33.75,30.0,36.25,48.75,Neutral 😐
cane_secco,63.05,24.63,12.32,75.37,Positive 😄
cantimagineit,65.01,22.8,12.19,76.41,Positive 😄
capexpectations,36.89,29.51,33.61,51.64,Neutral 😐
capostra,35.6,30.37,34.03,50.79,Neutral 😐
captainbarto,35.82,28.87,35.31,50.25,Neutral 😐
captureyesstudio,37.5,28.01,34.5,51.5,Neutral 😐
car_spotter_group,36.62,28.34,35.03,50.8,Neutral 😐
cara_duffy,34.56,30.77,34.67,49.95,Neutral 😐
caraasantana,65.32,21.98,12.7,76.31,Positive 😄
carafit3,67.77,20.73,11.5,78.14,Positive 😄
cardievents,100.0,0.0,0.0,100.0,Positive 😄
carena_west,37.5,27.08,35.42,51.04,Neutral 😐
carlisalove,35.46,29.82,34.72,50.37,Neutral 😐
carlosriosq,59.63,26.97,13.4,73.11,Positive 😄
carlotavadillo,34.48,31.47,34.05,50.22,Neutral 😐
carlottaoddi,67.49,22.06,10.45,78.52,Positive 😄
carmencabezasphoto,35.88,29.51,34.61,50.64,Neutral 😐
carmenicole,36.84,27.63,35.53,50.66,Neutral 😐
carmlozano,44.44,22.22,33.33,55.56,Neutral 😐
carolbeckhaam,32.97,32.31,34.73,49.12,Neutral 😐
carolbuffara,35.58,30.41,34.01,50.78,Neutral 😐
carolinamenezesz,34.74,29.82,35.44,49.65,Neutral 😐
caroline_tucker,34.26,29.46,36.28,48.99,Neutral 😐
carolyneigama,66.53,23.51,9.95,78.29,Positive 😄
carolynstalent,80.77,19.23,0.0,90.38,Positive 😄
carpcak3,36.36,27.27,36.36,50.0,Neutral 😐
carrie_pendle,69.46,22.59,7.95,80.75,Positive 😄
carriec,66.3,22.01,11.7,77.3,Positive 😄
carsworldwide247,64.28,21.7,14.03,75.13,Positive 😄
cassiedepecol,69.63,20.67,9.69,79.97,Positive 😄
cassiesugarplum,64.28,20.85,14.87,74.71,Positive 😄
cathleentoyreview,36.04,28.0,35.95,50.05,Neutral 😐
catwomenn,67.27,21.52,11.21,78.03,Positive 😄
caupampolini,36.05,29.25,34.69,50.68,Neutral 😐
cayir1903,67.69,21.23,11.08,78.31,Positive 😄
cb2,66.85,20.42,12.74,77.06,Positive 😄
cbquality,34.06,30.6,35.34,49.36,Neutral 😐
ccallann,58.54,31.71,9.76,74.39,Positive 😄
cdignadice,85.71,14.29,0.0,92.86,Positive 😄
ceddyced1125,77.61,17.16,5.22,86.19,Positive 😄
ceicaprofissionais,,,,0.0,Neutral 😐
ceklewis,36.36,29.55,34.09,51.14,Neutral 😐
celebratelifesadventures,38.16,27.63,34.21,51.97,Neutral 😐
celebstyleguide,34.81,30.47,34.72,50.05,Neutral 😐
celestelevis,77.19,15.79,7.02,85.09,Positive 😄
celinecortess,79.49,15.38,5.13,87.18,Positive 😄
cellaalyssa,73.26,15.89,10.85,81.2,Positive 😄
cellequilvousfaut,34.81,28.31,36.88,48.96,Neutral 😐
certosadipadula,25.0,50.0,25.0,50.0,Neutral 😐
chaneemusic,36.49,29.73,33.78,51.35,Neutral 😐
chanel_pomeranian,50.0,0.0,50.0,50.0,Neutral 😐
chantalleniczko,36.49,27.01,36.49,50.0,Neutral 😐
chantellelise,33.93,28.57,37.5,48.21,Neutral 😐
chantrikeele,37.33,28.0,34.67,51.33,Neutral 😐
charitylikesbeards,73.38,12.55,14.07,79.65,Positive 😄
charlesandhudson,35.06,25.97,38.96,48.05,Neutral 😐
charliealbo,34.63,30.35,35.02,49.81,Neutral 😐
charliebrake1,36.15,30.61,33.24,51.45,Neutral 😐
charlotte_annefidler,70.64,17.49,11.87,79.39,Positive 😄
charlotte_louise_baker,36.76,29.41,33.82,51.47,Neutral 😐
charlottefok,100.0,0.0,0.0,100.0,Positive 😄
chasethehorizonofficial,36.48,29.1,34.43,51.02,Neutral 😐
chasingcharliblog,35.28,29.76,34.96,50.16,Neutral 😐
chasingdenisse,34.59,30.8,34.61,49.99,Neutral 😐
chasingmcallisters,35.68,29.47,34.85,50.42,Neutral 😐
chasityleanne,33.2,30.89,35.91,48.65,Neutral 😐
chaudronpastel,92.31,7.69,0.0,96.15,Positive 😄
chaunnadiaz,78.57,14.29,7.14,85.71,Positive 😄
chef_seabones,71.54,17.48,10.98,80.28,Positive 😄
chefjulie_rd,66.75,23.17,10.08,78.33,Positive 😄
cheflorena,67.47,21.98,10.55,78.46,Positive 😄
chelseafenech,34.57,30.95,34.48,50.05,Neutral 😐
chelsealeblancrdn,65.66,23.64,10.7,77.48,Positive 😄
chelseaolivia13,35.22,29.27,35.51,49.86,Neutral 😐
chelseynicolemodel,35.25,30.3,34.46,50.4,Neutral 😐
chemcsorleyx,34.43,30.46,35.11,49.66,Neutral 😐
cherriemun_,36.06,28.54,35.4,50.33,Neutral 😐
cheryl_fit4yoga,100.0,0.0,0.0,100.0,Positive 😄
cheycheyfromthebay,34.9,30.61,34.49,50.21,Neutral 😐
chiapiscedda,35.01,29.01,35.98,49.52,Neutral 😐
chiara_conte_singerviolinist,33.94,29.36,36.7,48.62,Neutral 😐
chiaralove5,35.16,30.12,34.72,50.22,Neutral 😐
chicagobeer,66.24,19.47,14.29,75.98,Positive 😄
chicagofooddork,67.34,19.11,13.55,76.9,Positive 😄
chicandclothes,66.23,21.5,12.27,76.98,Positive 😄
chichomelife,34.66,30.93,34.41,50.12,Neutral 😐
chico_1980,51.86,36.99,11.15,70.35,Positive 😄
chikiuno,33.56,28.86,37.58,47.99,Neutral 😐
chiletravel,34.99,30.51,34.5,50.25,Neutral 😐
chinashadae,37.84,28.38,33.78,52.03,Neutral 😐
chlo909,35.52,29.56,34.92,50.3,Neutral 😐
chloe_letellier,34.35,30.35,35.3,49.52,Neutral 😐
chloearnoldtaps,34.51,29.19,36.31,49.1,Neutral 😐
chloebartlett15,71.19,17.8,11.02,80.08,Positive 😄
chlohostyle,34.96,30.7,34.34,50.31,Neutral 😐
choco_k,39.29,25.0,35.71,51.79,Neutral 😐
chocolate_muscle_foodie,35.28,29.66,35.06,50.11,Neutral 😐
chop_suey87,63.14,24.66,12.2,75.47,Positive 😄
choreobymo,78.12,18.75,3.12,87.5,Positive 😄
chrisflanell,74.11,19.2,6.7,83.71,Positive 😄
chrisgoertz,86.87,12.12,1.01,92.93,Positive 😄
chrispombonyo,33.19,30.97,35.84,48.67,Neutral 😐
christiandawdesign,67.78,20.77,11.45,78.16,Positive 😄
christie_miless,69.24,18.56,12.2,78.52,Positive 😄
christiebrinkley,65.97,22.23,11.8,77.08,Positive 😄
christinemconnor,35.46,29.81,34.74,50.36,Neutral 😐
christinemulhearne,36.82,27.84,35.34,50.74,Neutral 😐
christyrosebud,25.0,37.5,37.5,43.75,Neutral 😐
christystucker,66.67,0.0,33.33,66.67,Positive 😄
chrisvpipkinsc,37.69,23.74,38.58,49.55,Neutral 😐
chxxilee,33.63,31.53,34.83,49.4,Neutral 😐
cicibellis,33.54,30.45,36.01,48.77,Neutral 😐
cierraporter,35.42,31.25,33.33,51.04,Neutral 😐
ciihmartins,35.12,30.29,34.58,50.27,Neutral 😐
cina,34.11,31.24,34.64,49.74,Neutral 😐
cindylimon,35.33,30.49,34.18,50.58,Neutral 😐
cinnaminimuffin,35.23,29.5,35.27,49.98,Neutral 😐
cinnamonstyle,35.3,29.69,35.01,50.14,Neutral 😐
cirkeline,34.34,31.17,34.49,49.92,Neutral 😐
citygirlmeetsfarmboy,35.23,30.09,34.68,50.27,Neutral 😐
cityhaley,33.33,33.33,33.33,50.0,Neutral 😐
cjmaddock,38.89,22.22,38.89,50.0,Neutral 😐
ckachelmuss,35.07,29.66,35.26,49.91,Neutral 😐
clairebearmcgr,30.0,30.0,40.0,45.0,Neutral 😐
clairechte,35.96,25.84,38.2,48.88,Neutral 😐
clairerunsthere,35.0,29.3,35.7,49.65,Neutral 😐
clairerusselll,,,,0.0,Neutral 😐
clappersinc,35.46,28.27,36.26,49.6,Neutral 😐
claralebbinck,34.51,32.38,33.11,50.7,Neutral 😐
clarissaguzz,36.36,29.63,34.01,51.18,Neutral 😐
classfox,35.11,28.0,36.89,49.11,Neutral 😐
classiccarlos,37.93,31.03,31.03,53.45,Neutral 😐
classy_mum,35.28,29.7,35.03,50.13,Neutral 😐
classyblanc,35.14,30.82,34.04,50.55,Neutral 😐
claudiacurac,37.01,27.56,35.43,50.79,Neutral 😐
claudiadarga,36.0,28.0,36.0,50.0,Neutral 😐
cleaneatswjules,34.43,30.54,35.03,49.7,Neutral 😐
cliffordthelab,35.56,26.67,37.78,48.89,Neutral 😐
cloakroom_dc,38.46,25.64,35.9,51.28,Neutral 😐
cmtealine,33.33,33.33,33.33,50.0,Neutral 😐
coachowenroddy,36.8,25.83,37.37,49.71,Neutral 😐
cocco_ontheroad,35.59,28.88,35.53,50.03,Neutral 😐
coco_tales,37.1,29.84,33.06,52.02,Neutral 😐
cocoandchili,35.03,29.95,35.03,50.0,Neutral 😐
cococuenco,33.75,32.0,34.25,49.75,Neutral 😐
codythecavachon,35.27,27.39,37.34,48.97,Neutral 😐
coffeecupsandroses,34.89,29.75,35.36,49.76,Neutral 😐
colleengallagher_,34.92,30.0,35.08,49.92,Neutral 😐
colorfactoryco,33.59,33.23,33.17,50.21,Neutral 😐
columbusstories,33.81,31.43,34.76,49.52,Neutral 😐
com_era_e,,,,0.0,Neutral 😐
comeonayleen,32.5,27.5,40.0,46.25,Neutral 😐
comet93384,,,,0.0,Neutral 😐
comiliso,36.94,27.39,35.67,50.64,Neutral 😐
conalma_design,39.53,27.91,32.56,53.49,Neutral 😐
conantojomx,34.21,26.32,39.47,47.37,Neutral 😐
confessionsofacleanfoodie,34.12,32.3,33.58,50.27,Neutral 😐
confessionsofafitfoodie,36.03,29.42,34.54,50.75,Neutral 😐
conmdemadre,35.69,29.53,34.78,50.46,Neutral 😐
construction_chic,35.58,29.21,35.21,50.19,Neutral 😐
consuljd,33.33,29.63,37.04,48.15,Neutral 😐
cookieandkate,32.85,29.47,37.68,47.58,Neutral 😐
cookilicious,35.71,29.59,34.69,50.51,Neutral 😐
coolmompicks,36.36,28.93,34.71,50.83,Neutral 😐
corinnamarie_sedlack,38.0,28.0,34.0,52.0,Neutral 😐
corinne_mantineo,36.34,27.02,36.65,49.84,Neutral 😐
corinnedecost,,,,0.0,Neutral 😐
corinnergeorges,36.07,28.88,35.05,50.51,Neutral 😐
coriyonmariee,39.13,26.09,34.78,52.17,Neutral 😐
cortneyhare,36.36,27.27,36.36,50.0,Neutral 😐
cosmobyhaley,34.88,32.71,32.41,51.23,Neutral 😐
cosmopolitancornbread,33.33,22.22,44.44,44.44,Neutral 😐
cottercrunch,34.87,29.46,35.66,49.6,Neutral 😐
countryheartdeb,33.33,31.25,35.42,48.96,Neutral 😐
coupleofpuzzles,33.33,31.25,35.42,48.96,Neutral 😐
couponsfreebie,,,,0.0,Neutral 😐
courtneytailor,35.13,29.5,35.36,49.88,Neutral 😐
cp_g,34.91,30.24,34.85,50.03,Neutral 😐
crader12,36.86,28.1,35.04,50.91,Neutral 😐
craftandcouture,35.28,30.15,34.57,50.35,Neutral 😐
craftycookingmama,35.94,28.12,35.94,50.0,Neutral 😐
craigycavanagh,36.96,27.17,35.87,50.54,Neutral 😐
create_style_live_balance,35.09,29.63,35.28,49.9,Neutral 😐
createcraftlove,35.42,28.65,35.94,49.74,Neutral 😐
createplaytravel,34.36,30.98,34.66,49.85,Neutral 😐
creativecamart,35.71,21.43,42.86,46.43,Neutral 😐
creatorhq_,50.0,0.0,50.0,50.0,Neutral 😐
crispyrica,33.33,26.67,40.0,46.67,Neutral 😐
cristalcaravaggio,35.53,31.58,32.89,51.32,Neutral 😐
cristina_kovacs,35.28,29.64,35.08,50.1,Neutral 😐
cronicasgermanicas,38.34,27.26,34.41,51.96,Neutral 😐
cruisingabroad,31.58,36.84,31.58,50.0,Neutral 😐
crusher_nika,33.33,33.33,33.33,50.0,Neutral 😐
cryscastles,34.74,28.8,36.46,49.14,Neutral 😐
crystalmrr,34.62,30.77,34.62,50.0,Neutral 😐
crystalngumezi,35.58,29.43,34.98,50.3,Neutral 😐
csevolutionofstyle,36.84,27.53,35.63,50.61,Neutral 😐
csolek,36.36,27.27,36.36,50.0,Neutral 😐
cswish116,34.69,27.55,37.76,48.47,Neutral 😐
cubanito_official,34.01,30.78,35.2,49.4,Neutral 😐
curitidoce,37.54,26.32,36.14,50.7,Neutral 😐
curlydesiire,36.82,28.18,35.0,50.91,Neutral 😐
curvybluemarine,35.96,27.15,36.89,49.53,Neutral 😐
curvycurlychrisy,34.23,31.11,34.66,49.78,Neutral 😐
cwilson9368,25.0,25.0,50.0,37.5,Neutral 😐
cymia,39.22,31.37,29.41,54.9,Neutral 😐
cyndiramirez,35.12,30.45,34.43,50.35,Neutral 😐
cyrusy87,33.47,31.58,34.95,49.26,Neutral 😐
cytherial_,35.58,29.81,34.62,50.48,Neutral 😐
d1deeem,35.47,29.5,35.03,50.22,Neutral 😐
dadandburied,37.01,29.22,33.77,51.62,Neutral 😐
daddyfootandco,35.49,29.75,34.76,50.37,Neutral 😐
daddysgrounded,0.0,0.0,100.0,0.0,Negative 😔
dadofdivas,,,,0.0,Neutral 😐
dadoftwo_rolandhall,33.06,30.61,36.33,48.37,Neutral 😐
daigothebeast,33.33,33.33,33.33,50.0,Neutral 😐
dailiperez,35.05,30.35,34.6,50.23,Neutral 😐
dailybestpic,37.34,30.06,32.59,52.37,Neutral 😐
dailydoseoflara,34.84,30.08,35.09,49.87,Neutral 😐
dailysurfgr,33.33,33.33,33.33,50.0,Neutral 😐
daisy_elms,33.33,33.33,33.33,50.0,Neutral 😐
dalydoll101,35.12,29.25,35.63,49.74,Neutral 😐
daman_magazine,33.33,33.33,33.33,50.0,Neutral 😐
dancingbackwardsinheels,36.26,29.69,34.05,51.11,Neutral 😐
dancingdominican,37.4,26.83,35.77,50.81,Neutral 😐
dangerusswilson,32.75,32.15,35.1,48.83,Neutral 😐
dani_brickman,35.09,28.07,36.84,49.12,Neutral 😐
dani_fitlifestyle,34.83,30.26,34.9,49.97,Neutral 😐
dani_wahlstrom,34.86,29.49,35.64,49.61,Neutral 😐
danichinitz_fit,35.17,28.5,36.33,49.42,Neutral 😐
danieallover,37.1,29.86,33.03,52.04,Neutral 😐
daniejudsonrd,36.62,26.76,36.62,50.0,Neutral 😐
danielbovolento,37.14,28.98,33.88,51.63,Neutral 😐
danielgonzaleziglesias,33.33,33.33,33.33,50.0,Neutral 😐
danielillescas,34.54,30.38,35.08,49.73,Neutral 😐
danieljackthomas,33.33,33.33,33.33,50.0,Neutral 😐
danielkbaldock,34.67,30.23,35.1,49.78,Neutral 😐
daniellebradbery,34.61,29.62,35.77,49.42,Neutral 😐
daniellekuehler,33.33,33.33,33.33,50.0,Neutral 😐
daniellemarieweber,34.38,29.48,36.15,49.12,Neutral 😐
daniellevasinova,34.7,28.5,36.8,48.95,Neutral 😐
danielmartin,35.05,29.49,35.46,49.79,Neutral 😐
danielponomari,35.65,28.7,35.65,50.0,Neutral 😐
danielssean,36.13,30.86,33.01,51.56,Neutral 😐
danigyyc,0.0,100.0,0.0,50.0,Neutral 😐
danimariekrum,36.68,29.28,34.04,51.32,Neutral 😐
daniross_,34.04,30.99,34.97,49.53,Neutral 😐
dankipnis,35.29,30.25,34.45,50.42,Neutral 😐
dannygrubs,33.2,34.83,31.98,50.61,Neutral 😐
darciemcclellan,35.78,30.28,33.94,50.92,Neutral 😐
dariobiv,35.0,35.0,30.0,52.5,Neutral 😐
darjas_welt,35.71,32.14,32.14,51.79,Neutral 😐
dashtube,37.94,28.81,33.25,52.35,Neutral 😐
david_lovric,35.87,28.18,35.95,49.96,Neutral 😐
davidakcz,35.29,29.71,35.0,50.14,Neutral 😐
davidanddonetta,34.19,30.77,35.04,49.57,Neutral 😐
davidhubacher,35.92,28.38,35.7,50.11,Neutral 😐
davidisherenow,36.23,28.49,35.28,50.47,Neutral 😐
davidrees,38.66,25.6,35.74,51.46,Neutral 😐
davizinhoradical,36.62,28.6,34.78,50.92,Neutral 😐
dawidkostka,34.15,31.71,34.15,50.0,Neutral 😐
dawnrichard,37.25,26.77,35.98,50.63,Neutral 😐
debbs_bjuku,36.07,29.51,34.43,50.82,Neutral 😐
deborahhquinn,34.38,25.0,40.62,46.88,Neutral 😐
debossgarage,34.72,31.61,33.68,50.52,Neutral 😐
debreczenidora,34.1,28.08,37.82,48.14,Neutral 😐
declanchan,35.21,28.6,36.19,49.51,Neutral 😐
dee_jaxon,34.86,30.1,35.04,49.91,Neutral 😐
deejo_knives,35.92,28.16,35.92,50.0,Neutral 😐
delana_crook,35.0,30.0,35.0,50.0,Neutral 😐
deliacreates,34.9,30.04,35.06,49.92,Neutral 😐
delifonsecadockside,50.0,0.0,50.0,50.0,Neutral 😐
delyannearjona,36.36,29.37,34.27,51.05,Neutral 😐
demarce_c88,40.0,20.0,40.0,50.0,Neutral 😐
demijonk,33.92,32.45,33.63,50.15,Neutral 😐
demimaric,36.08,30.71,33.21,51.43,Neutral 😐
deneandale,35.23,29.76,35.01,50.11,Neutral 😐
denise_cotte,34.14,30.14,35.71,49.21,Neutral 😐
denzelnyc,38.42,25.62,35.96,51.23,Neutral 😐
dermalogica_benelux,,,,0.0,Neutral 😐
dersteira,35.51,30.19,34.3,50.6,Neutral 😐
desejodesernoiva,39.02,26.83,34.15,52.44,Neutral 😐
designforkids,36.36,31.82,31.82,52.27,Neutral 😐
designimprovised,35.75,29.46,34.79,50.48,Neutral 😐
designinterests,50.0,0.0,50.0,50.0,Neutral 😐
desirefalk,34.77,30.03,35.2,49.79,Neutral 😐
dettorifabien,36.51,28.57,34.92,50.79,Neutral 😐
devdominguez,35.4,30.43,34.16,50.62,Neutral 😐
devine_beauty_by_t,34.55,30.13,35.32,49.61,Neutral 😐
devonlevesque,36.36,28.67,34.97,50.7,Neutral 😐
dfuqanne,31.58,31.58,36.84,47.37,Neutral 😐
dh_arts_design,,,,0.0,Neutral 😐
dialaskitchen,35.43,29.16,35.41,50.01,Neutral 😐
